SIMPLIFIED LUGBARA
28 Letters,Pronunciation
Aa,Ah
Bb,Ba
'B'b,Bha
Cc,Cha
Dd,Da
'D'd,Dha
Ee,Eh
Ff,Fa
Gg,Ga
Hh,Ha
Ii,Ie (like in Inn)
Jj,Ja
Kk,Ka
Ll,La
Mm,Ma
Nn,Na
Oo,Oh
Pp,Pa
Rr,Ra
Ss,Sa
Tt,Ta
Uu,Uw (like in yoU or gOOd)
Vv,Va
Ww,Wa
'W'w,Wha
Yy,Ya
'Y'y,Yha
Zz,Za 

Diphthong Clusters:
dj,(Letter D is silent) as in jilt eg odji (pronounced oji) [wash]
gb,(Letter G is silent) as in bend eg gbe (pronounced be) [egg]. Lugbara is pronounced Lubara
kp,(Letter K is silent) as in paint eg okpo (pronounced opo) [power]
mv,as in converse eg omve (pronounced onve) [call]
nz,(Letter Z changes to J) as in jet eg onzi (pronounced onji) [bad]
oa,as in soar eg Ngoa [Where]?
oo,as in hold eg ocoo [dog] and rarely oo as in food eg 'doo (pronounced dhu) [pick with tongue or sth and eat]
uu,as in chew eg cuu [market]...

All Lugbara words end with a vowel.
Nouns can be both singular and plural (though number or -yi after denote more than one too); exceptions include mva [child] becomes anzi [children], etc.
Some words are repeated to create other words eg kali kali [sweet].
Vocabulary is small because some words have multiple meanings depending on tone or context.
Words are written the way they sound.

TONES:
High tone /,tí [cow]
Mid tone -,tī [strangle]; Mid tone is very common in Lugbarati!
Low tone \,tì [give birth]

Other examples include: ai [salt / accept or pray - ask or beg \]; dri [head / hand - heat \]; etc. The word for read and lie down (or sleep) is la but pronounced differently. Others are the same sound but mean different things depending on context eg to beat with a stick and draw pictures is (o)gba. Some words are said threeways depending on dialect like valley = a'bu which can also be e'bu and i'bu or twoways like fish = e'bi and i'bi...

NUMBER(S),KALAFE
0,toko/ ogbo
1,alu
2,iri
3,na
4,su
5,towi/ tawu
6,azia
7,aziri
8,aro
9,oromi
10,mudri/ modri
11,mudri (dri)ni alu
12,mudri (dri)ni iri

20,kali iri
21,kali iri drini alu
22,kali iri drini iri

30,kali na
40,kali su
50,kali towi

100,turu alu
101,turu alu drini alu
102,turu alu drini iri

110,turu alu mudri
111,turu alu mudri drini alu
112,turu alu mudri drini iri

120,turu alu kali iri
121,turu alu kali iri drini alu
122,turu alu kali iri drini iri

200,turu iri
300,turu na
400,turu su

1000,alifu alu
2000,alifu iri
3000,alifu na

1000000,milioni alu 
7000000000,bilioni aziri

BUKU BIBLIA ALATARARU-A,BOOKS IN THE HOLY BIBLE
Buku Okuri,Old Testament
E'doza (Buku Musa ni sile aluri),Genesis
Efuza (Buku Musa ni sile iriri),Exodus
Kalafe (Buku Musa ni sile nari),Numbers
Azita Amvizu (Buku Musa ni sile suri),Deuteronomy
Yosua,Joshua
'Ba E'yo Lipi ('Diyi) 1ri azini 2ri (Aluri/ Okori azini iriri),1st and 2nd Judges
Rutu,Ruth
Samueli 1ri azini 2ri,1st and 2nd Samuel
Opi 1ri azini 2ri,1st and 2nd Kings
Suru ma E'yo 1ri azini 2ri,1st and 2nd Chronicles
Ezira,Ezra
Nehemia,Nehemiah
Esiteri,Esther
Yobu,Job
Zaburi,Psalms
E'yo O'beza,Proverbs
Eklesiaste,Ecclesiastes
Ongo Sulemani ni,Songs of Solomon (Songs of Songs)
Isaya,Isaiah
Yeremia,Jeremiah
Imvo Ongo,Lamentations
Ezekieli,Ezekiel
Danieli,Daniel
Hosea,Hosea
Yoeli,Joel
Amosi,Amos
Obadia,Obadiah
Yona,Jonah
Mika,Micah
Nahumi,Nahum
Habakuki,Habakuk
Zefania,Zephania
Hagai,Haggai
Zekaria,Zechariah
Malaki,Malachi

Buku O'diri,New Testament
Matayo,Matthew
Mariko,Mark
Luka,Luke 
Yohana,John
'Yeta 'Ba Ojioru ('Diyi) ni,Acts of the Apostles
'Ba Roma-a ('Diyi),Romans
'Ba Korinto-a ('Diyi) 1ri azini 2ri,1st and 2nd Corinthians 
'Ba Galatia-a ('Diyi),Galatians
'Ba Efeso-a ('Diyi),Ephesians
'Ba Filipi-a ('Diyi),Philippians
'Ba Kolosi-a ('Diyi),Colossians
'Ba Tesalonika-a ('Diyi) 1ri azini 2ri,1st and 2nd Thessalonians
Timoteo 1ri azini 2ri,1st and 2nd Timothy
Tito,Titus
Filemoni,Philemon
'Ba Ebraniani ('Diyi),Hebrews
Yakobo,James
Petero 1ri azini 2ri,1st and 2nd Peter
Yohana 1ri/ 2ri azini 3ri,1st/ 2nd and 3rd John
Yuda,Jude
E'yo Eceza,Revelation

WURA, LUGBARA COLOURS
eka,red/ crimson/ scarlet
orenji/ orenzi,orange
yelo,yellow
grini,green
blu,blue/ indigo/ cyan/ aqua/ sky blue/ turquiose
papo,purple/ violet/ lilac
pinki,pink/ magenta/ hotpink/ fuchsia
imve,white
imve silili/ whilili,very white/ pure white
enisi-emvesi/ korikori,black and white
horohoro/ perepere/ walalaru,light
foro(foro)/ foroto,grey/ greyish (UK English)/ gray and grayish (American English)
ini (inikini),black (darkish)
inibiricici (inicici),very dark
okaza/ okazaru/ okalamgba/ wara wara (walala)/ okata/ oka/ brawuni,brown (brown-skinned)/ becoming brownish/ become brownish with dirt
maruni,maroon

THE VERB "TO BE"
Ma,I am/ I'm
Mi,You (Singular)
Eri,He/ She/ It is
Ama,We are
Emi,You (Plural)
Eyi/ Yi,They are
(Past tense for I and We is expressed by starting a sentence with A- before the verb [though pronounced differently] or ending for all with (ta and) ra = (then and) affirmative eg Amu (ta) ra! = I/ We went then! or 'bo = already eg Amu 'bo! = I/ We have gone already! Present tense for sb or sth is shown by following the subject with ni = is eg Uganda ni onyiru! = Uganda is good! Future tense is shown by nga = will eg Eri nga gu. = S/he will laugh.)

'BAPI,LUGBARA RELATIVES
a'bi,grandfather
a'bianzi,grandchildren
a'bimva,descendant
a'bipika,grandmother's clan
adri/ adripi(si),brother eg Aiko ni ma adri. = Aiko is my brother.
adrizi/ arizi,brotherliness
adro agupianzi,sister's sons
adro eza(pi)/ za(pi),niece
adro ezoanzi,sister's daughters
adro mva, nephew
ata ogu/ atapiru[ka]/ atapuru[ka]/ atipiru,paternal uncle[s]
adro(yi[ka])/ adropi,maternal uncle[s]
agi/ agoyi/ agyi/ alipi,friend
agiago,boyfriend
ago/ agupi/ culu,husband/ man/ mister
agupiamva,boy
ai azi (because they can lend salt to each other)/ oku pi,co-wife
aje,marriage
aku/ ori'ba,family
ali mva,illegitimate child
amuroo/ arusu/ mugole,bride
amvi/ amvupi(si),sister
andrapi[ka], andrapuru, andripiru[ka],maternal aunt
andrapuru[ka],paternal aunt[s]
andri/ ayia/ mama/ mami,mother eg Elizabeti ni ma andri. = Elizabeth is my mother.
